ticker,date,open,high,low,close
BTC,6/8/2023,26158.8,26815.1,26139,26578.2
BTC,6/9/2023,26578.2,26779.7,26282.8,26474.2
BTC,6/10/2023,26474.2,26531.9,25391.3,25776.2
BTC,6/11/2023,25776.2,26215.3,25648,26057
BTC,6/12/2023,26057.1,26107.5,25622,25931.6
BTC,6/13/2023,25931.6,26429.3,25716.1,25844.1
BTC,6/14/2023,25844.1,26078.6,24821.1,25119
BTC,6/15/2023,25088,25735,24750.4,25553.4
BTC,6/16/2023,25553.4,26489.1,25149,26277.1
BTC,6/17/2023,26289.5,26798.3,26163.7,26514.2
BTC,6/18/2023,26513.1,26691.1,26380.5,26409.3
BTC,6/19/2023,26402.2,27050.9,26250.6,26761.9
BTC,6/20/2023,26761.9,28307.1,26645.2,28134.2
BTC,6/21/2023,28134.2,30763.8,28108.2,29882.4
BTC,6/22/2023,29888,30501.5,29654.3,30060.4
BTC,6/23/2023,30060.4,31410.1,29810.7,30677.6
BTC,6/24/2023,30677.9,30812.9,30269.7,30533
BTC,6/25/2023,30533,31057,30289.2,30461.2
BTC,6/26/2023,30461.3,30666.3,29931.1,30164.4
BTC,6/27/2023,30164.4,31005.5,30105.6,30722.9
BTC,6/28/2023,30722.9,30740.2,29947.6,30134.1
BTC,6/29/2023,30134.1,30832.4,30047.7,30413.1
BTC,6/30/2023,30413.7,31272.9,29494.1,30469.2
BTC,7/1/2023,30469.2,30656,30314.9,30584.7
BTC,7/2/2023,30584.7,30681.8,30190,30560.2
BTC,7/3/2023,30562.7,31385.9,30430.9,31052.4
BTC,7/4/2023,31052.4,31354.7,30626.8,30810.5
BTC,7/5/2023,30810.5,30881.5,30198.2,30474.9
BTC,7/6/2023,30474.9,31491.9,29891.6,30222
BTC,7/7/2023,30222,30445.7,29703.5,30292.7
BTC,7/8/2023,30292.7,30388,30048.8,30185.9
BTC,7/9/2023,30185.9,30445.5,30121,30159.3
BTC,7/10/2023,30159.3,31048.9,29956.9,30320.1
BTC,7/11/2023,30260.1,30813,30206,30570.8
BTC,7/12/2023,30570.8,30977.8,30215.9,30355.4
BTC,7/13/2023,30355.4,31818.8,30250.6,31266.2
BTC,7/14/2023,31266.2,31641.1,29915.6,30256.8
BTC,7/15/2023,30255.8,30407.6,30216.7,30312.1
BTC,7/16/2023,30312.1,30451.9,30143.6,30306.6
BTC,7/17/2023,30306.6,30375.9,29665.4,30249.1
BTC,7/18/2023,30247.7,30273,29518.2,29807.4
BTC,7/19/2023,29807.4,30193.1,29762,29933.7
BTC,7/20/2023,29933.7,30417.2,29576.2,29869.6
BTC,7/21/2023,29867.6,30059.3,29724.6,29900.2
BTC,7/22/2023,29900.2,30001.4,29805.6,29830
BTC,7/23/2023,29830,30348.9,29649.9,29944
BTC,7/24/2023,29954.7,30098.1,28862.5,29163.5
BTC,7/25/2023,29163.6,29373.7,29045.3,29226.9
BTC,7/26/2023,29226.9,29682.8,29092.3,29467.2
BTC,7/27/2023,29467.2,29566.3,29093.3,29179.3
BTC,7/28/2023,29179.3,29528,29115.5,29313.4
BTC,7/29/2023,29313.2,29406.6,29255.6,29348.1
BTC,7/30/2023,29347.8,29446.9,29088.4,29211.2
BTC,7/31/2023,29211.2,29525.9,29096.3,29238.3
BTC,8/1/2023,29238.3,29343,28562.8,29229.9
BTC,8/2/2023,29228.1,30028,28919.7,29162.9
BTC,8/3/2023,29162.9,29401.8,28940.7,29217.1
BTC,8/4/2023,29230.2,29305.2,28789.6,29037.5
BTC,8/5/2023,29037.5,29191.1,28961,29041.5
BTC,8/6/2023,29041.5,29206.5,28896.4,29042.9
BTC,8/7/2023,29044.3,29241.9,28514,29162.2
BTC,8/8/2023,29162.3,30221,29110,29850.5
BTC,8/9/2023,29850.8,30130.7,29351.4,29501.2
BTC,8/10/2023,29501.2,29707.2,29306.9,29434.8
BTC,8/11/2023,29434.8,29526.6,29219.1,29377.7
BTC,8/12/2023,29377.7,29465.1,29355.5,29400.9
BTC,8/13/2023,29400.9,29450.5,29309.2,29344
BTC,8/14/2023,29344,29661.2,29076.3,29371.3
BTC,8/15/2023,29371.3,29459.1,29104.6,29197.8
BTC,8/16/2023,29197.8,29225,28836.4,28897.2
BTC,8/17/2023,28897.2,28944.4,25156.3,26238.8
BTC,8/18/2023,25989.9,27092,25606.8,26049.7
BTC,8/19/2023,26049.7,26266.9,25793.4,26078.2
BTC,8/20/2023,26078.2,26294,25985.4,26175.5
BTC,8/21/2023,26178.7,26246.8,25812,26192.4
BTC,8/22/2023,26192.1,26192.3,25294.2,25660.3
BTC,8/23/2023,25660.6,26805.7,25634.5,26315
BTC,8/24/2023,26312,26566.7,25857.2,26081.7
BTC,8/25/2023,26081.7,26296.3,25765.6,26067.5
BTC,8/26/2023,26066,26099.2,25969.9,26027.7
BTC,8/27/2023,26026.4,26167.8,25953.9,26055.6
BTC,8/28/2023,26055.6,26231.7,25859.8,25969.4
BTC,8/29/2023,25969.4,28143.8,25904.1,27664.2
BTC,8/30/2023,27664,27768.9,27020.8,27259.7
BTC,8/31/2023,27259.7,27568.9,25665.6,26021.4
BTC,9/1/2023,26021.4,26145.8,25325.1,25791.3
BTC,9/2/2023,25791.3,25982.3,25742.2,25856
BTC,9/3/2023,25856,26121.6,25796.4,25963
BTC,9/4/2023,25963,26100.4,25624,25670.5
BTC,9/5/2023,25664.9,25871.4,25554.8,25722.4
BTC,9/6/2023,25722.4,26005.7,25403.7,25709.9
BTC,9/7/2023,25711.3,26419.4,25600.1,26146.7
BTC,9/8/2023,26172.9,26433.8,25667.7,25890.6
BTC,9/9/2023,25889,25934.1,25789.2,25883.5
BTC,9/10/2023,25883.5,25910.4,25577.4,25893
BTC,9/11/2023,25915.4,26020.6,24905.3,25139.9
BTC,9/12/2023,25139.9,26544.6,25078,26100.6
BTC,9/13/2023,26098.7,26403.4,25761.8,26232
BTC,9/14/2023,26232,26857.2,26128.6,26542.5
BTC,9/15/2023,26542.5,26689.2,26224,26468.3
BTC,9/16/2023,26469.2,26885.8,26450.5,26572.4
BTC,9/17/2023,26572.4,26628,26404.6,26491.3
BTC,9/18/2023,26491.3,27414.8,26383.4,26843.4
BTC,9/19/2023,26843.4,27485.2,26673.9,27161.8
BTC,9/20/2023,27161.8,27391.9,26805.3,27111.8
BTC,9/21/2023,27113.7,27159.9,26375.9,26612.6
BTC,9/22/2023,26612.6,26739.6,26470.2,26567.2
BTC,9/23/2023,26567.5,26633.6,26510.1,26570.7
BTC,9/24/2023,26570.7,26739.3,26341.5,26520.4
